"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque (720x | O máximo em arco e flecha.)";"Estoque (Depósito)";SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo Modelo Fabricante)";Sexo;"Faixa etária";Custo
astralv2;"Riser ILF Astral V2";"Arcos > Arcos recurvos > Punhos";Cor;Azul;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;0;ND;CORASTRIS2;6426037738725;SIM;NÃO;;"arco, Core, ILF, iniciante, riser";"Riser Astral V2 25"" para Arco Recurvo";"Riser ILF Astral V2 25"": um arco ideal para iniciantes e intermediários, acessível e confiável. Perfeito para arqueiros se iniciando no esporte e para clubes. Garanta o seu e evolua no tiro com arco!";Core;SIM;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Azul;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Branco;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Branco;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;1;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Preto;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;0;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Preto;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Roxo;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Roxo;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Vermelho;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;0;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Vermelho;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;"Azul claro";Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;"Azul claro";Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Bege;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Bege;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;1;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Cinza;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;0;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Cinza;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Marrom;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Marrom;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Verde;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;1;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Verde;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;0;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Rosa;Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;1;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;Rosa;Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;1;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;"Verde escuro";Orientação;"Canhoto (LH)";;;1,150.00;;1.31;7.00;21.00;90.00;0;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
astralv2;;;Cor;"Verde escuro";Orientação;"Destro (RH)";;;1,150.00;;1.31;7.00;21.00;90.00;2;ND;CORASTRIS2;6426037738725;;;;;;;;;CO-R10-R-BLK;Unissex;;
bone-720x-brinde-m5ukr;"Boné 720x - Brinde";;;;;;;;0.00;;0.15;12.00;18.00;20.00;170;ND;;;NÃO;NÃO;;;;;;SIM;;;;
viseira-720x-brinde-qsdbn;"Viseira 720x - Brinde";;;;;;;;0.00;;0.07;7.00;25.00;20.00;;ND;;;NÃO;NÃO;;;;;;SIM;;;;
bone-720x;"Boné 720x";"Roupas e acessórios > Bonés";;;;;;;66.00;;0.15;10.00;18.00;20.00;376;ND;;;SIM;NÃO;;"720x, bone, vestuario";"Boné 720x esportivo com bordado exclusivo";"Boné 720x estruturado, confortável e estiloso. Ideal para treinos, provas ou dia a dia. Garanta já o seu!";720x;SIM;;;;
viseira-720x;"Viseira 720x";"Roupas e acessórios > Bonés";;;;;;;60.00;;0.08;8.00;25.00;20.00;190;ND;;;SIM;NÃO;;"720x, acessorios, viseira";"Viseira 720x";"Viseira 720x leve e estilosa, protege do sol com ajuste fácil. Ideal para treinos, competições e para o dia a dia. Garanta já a sua!";720x;SIM;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;"Sanlida HERO 10 II 37"" Lâminas Brancas - Por encomenda";"Arcos > Arcos composto > Hero X10, Marcas > Sanlida";Potência;"40 - 50#";Cor;Azul;"Tamanho da CAM";P;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;NÃO;NÃO;;"Arco Composto, arco e flecha, tiro com arco";"Arco Composto Sanlida HERO 10 II - Precisão e estabilidade";"O arco composto Sanlida HERO 10 II oferece precisão, resistência e conforto para a sua prática. Um arco de alto desempenho a um excelente custo benefício. Garanta o seu!";Sanlida;SIM;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Azul;"Tamanho da CAM";M;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Azul;"Tamanho da CAM";G;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;"Azul Claro";"Tamanho da CAM";P;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;"Azul Claro";"Tamanho da CAM";M;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;"Azul Claro";"Tamanho da CAM";G;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Vermelho;"Tamanho da CAM";P;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Vermelho;"Tamanho da CAM";M;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Vermelho;"Tamanho da CAM";G;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Verde;"Tamanho da CAM";P;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Verde;"Tamanho da CAM";M;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Verde;"Tamanho da CAM";G;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Pink;"Tamanho da CAM";P;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Pink;"Tamanho da CAM";M;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Pink;"Tamanho da CAM";G;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Prata;"Tamanho da CAM";P;7,000.00;;3.00;9.00;33.00;116.00;0;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Prata;"Tamanho da CAM";M;7,000.00;;3.00;9.00;33.00;116.00;;ND;;;;;;;;;;;;;;
sanlida-hero-10-ii-37-laminas-brancas-por-encomenda;;;Potência;"40 - 50#";Cor;Prata;"Tamanho da CAM";G;7,000.00;;3.00;9.00;33.00;116.00;;ND;;;;;;;;;;;;;;
